,title,description
126,Patty,"flattened, be, patty, Similar-shaped, separated, other, mixed, traditional, beef-based, deep, spice, proprietary, greaseproof, eaten, refer, either, vegetarian, non-vegetarian, savory, puff, common, many, ==, mass-produced, uncommon, find, abnormal, bumpy, groove-like, keep, fall, various, boxed, small, top, bottom, similar"
127,Peanut butter,"dry-roasted, additional, such, popular, many, make, sandwich, peanut-flavored, similar, other, nut, ==, peanut, heated, cooled, semi-fluid, mixed, harden, prepared, Alimentary, Western, be, first, wealthy, expensive, Early, peanut-butter-making, smooth, own, new, creamy, smoother, -style, due, Contrary, invent, Grow, various, ==, main, crunchy, coarsely-ground, give, extra, contain, <, vegetable, artificial, ], natural, require, major, white, coconut, artisanal, available, small, weather, grow, late, clear, dry, stick, mechanical, unshelled, ===, avoid, excessive, dust, ===, continuous, large, revolving, Next, uniformly, good, use, hot, permit, lower, possible, blower-cooler, pull, help, retain, undergo, remove, heat, ====, soften, split, soft, ====, opposite, sharp, stationary, one-minute, blanched, eliminate, rotten, second, fine, produce, stay, homogenous, cool, cool, occur, consumers.A, third, peanut-producing, American, dietary, table, rich, pantothenic, high, manganese, moderate, crunchy/chunky, palmitic, total, oleic, linoleic, cause, allergic, life-threatening, potential, common, Other, complementary, sweet, salty, see, butter-based, fight, famine-stricken, single, unrefrigerated, animal, hollow, occupy, favored, outdoor, slang, monkey, protected, actual, kaas, Informal, All-American, External, last"
128,Peanut butter and jelly sandwich,"eaten, open-faced, sandwich, common, popular, average, American, have, high, several, be, component, flip, almond, Other, nut, less, Marshmallow, extra, possible, whole, smooth, chunky, sit, soak, create, soggy, utilize, see, ==, diverse, savory, such, Good, use, make, following, culinary, peanut, early, military, white, kcal, fat, Keep, peanut-butter-and-jelly"
129,Pemmican,"concentrated, nutritious, important, Native, American, certain, prepared, wasna, native, North, high-energy, fur, such, specific, pemmican, available, bison, ceremonial, wedding, ==, Traditional, lean, large, thin, slow, hot, hard, brittle, make, dried, suitable, dry, small, pounded, mixed, melted, approximate, be, meat/fat, resulting, official, vary, last, anecdotal, cool, frozen, refrigerated, exceed, French, fat, taureaux, grand, fill, [, wild, other, say, live, short, free, carry, great, north, canot, standard, Montreal-based, main, Western, go, convert, trade, farther, major, distinct, short-lived, several, much, polar, absolute, sledge-party, compact, serious, successful, British, dog, ​1⁄3, fat, healthy, high, Second, keep, perfect, superior, biltong, cured, commanding, march, drop, hunger.American, scientific, low, popular, potted, due, researchable, cookable, ideal, lightweight, enough, home-sick, cold, fish, traditional"
130,Pepperoni,"American, cured, mixed, other, soft, smoky, bright, red, sliced, popular, Italian, first, refer, diminutive, hot, spicy, ==, dry, similar, southern, such, salsiccia, main, akin, salami, spiceless, regional, artificial, natural, pure, mass-produced, meet, be, modern, protect, microbiological, pepperoni, reddish, proteinaceous, curl, different, cheap, pepperoni, own, common, External, dictionary"
131,Pepperoni Rolls,"popular, nearby, Appalachian, such, Western, ubiquitous, classic, soft, white, hard, main, warmed.Its, ==, north-central, first, 20th, need, be, other, Italian, early, booming, many, pepperoni, original, contain, different, take, several, single, legal, stricter, new, put, military, late, light, airborne, special, typical, compact, high, nutritional, ideal, stuffed, American"
132,Pickled cucumber,"pickled, other, ferment, acidic, mixed, ==, Historical, Indian, burr, eaten, raw, popular, Sweet, ====, tart, French, small, cold, prepared, traditional, natural, grow, sour, brine, vary, gal, oz/US, dependent, be, commercial, such, sourdough, ceramic, wooden, many, garlic, horseradish, whole, green, white, dried, cooled, boiled, non-airtight, rubber, several, external, keep, top, indicate, ===, kosher, dietary, Jewish, generous, full-sour, half-sour, crisp, bright, old, new, Polish, German, ogórek, northern, central, eastern, similar, few, different, low-salt, half-, see, sweet, vinegary, due, preserving, ===, Hungarian, regular, vinegar-pickled, savanyú, sit, help, cause, Korean, salted, enhance, 24-hour, marinated, sliced, much, rough, undersized, red, cinnamon-flavored, multiday, canned, Swedish, Danish, drain, sour-sweet, agurkesalat, have, salad, roasted, gammeldags, hot, long, cool, edible, southern, mild, clear, English, little, vinegar, crispy, Further, minor, certain, Kool-Aid, pickle, low, moderate, 30-gram, high, contain, daily, act, probiotic, lactobacilli, add, nutritional, length-wise, sandwich, slice, chopped, Soured, dishes—for, pickle-stuffed, chicken, served, festival, stick, deep-fried, various, 15th, large, fish, big, ==, ploughman, –, atomic, [, American, 978-93-39-20322-1, Olive, 2090-3146, PMID, Vegetable, External, dictionary"
133,Pigs in blankets,"different, sausage-based, geographic, e.g, favoured, unknown, common, Many, large, other, small, be, main, bite-sized, actual, flaky, lunchtime, match, English, single, plural, ==, traditional, roast, recent, first, regional, jumbo, complete, hot, include, croissant, homemade, similar, easy, light, slight, refer, Czech-American, German, puff, Cheese, present, Сосиска, dish, ketchup-covered, phyllo, British-style, American-style, hidden, deep, vegetable, sausage, Chinese, southern, popular, fast, =="
134,Pizza strips,"Italian, Italian-American, baked, good, porous, focaccia-like, tomato, be, cool, Sicilian, large, rectangular, square, long, pizza, pie, same, have, hot, gravy, tomato, red, early, popular, ==, =="
135,Ploye,"pancake, type, popular, Much, simple, local, cheap, easy, make, such, maple, vary, baked, traditional, recipe, thin, ensure, get, thick, yellow, due, little, keep, red, contrary, few, brown, homemade, flour"
136,Pop-Tarts,"sugary, thin, rectangular, pre-cooked, be, microwave, require, popular, various, one-time, seasonal, limited, short, ==, keep, fresh, new, toaster-prepared, complement, cold, ready, able, develop, own, animated, anthropomorphic, withstand, first, different, brown, wide, hot, stuck, caught, strawberry, produce, foot, possible, substantial, early, Chocotastic, available, major, military, Crazy, Good, crazy-good, surrealist, strong, particular, temporary, straight, Related, mid-1990s, similar, regular, do, portable, break-apart, massive, American, live, sell, such, standard, narrow, separate, tiny, bite-sized, single, 60-calorie, launch, on-the-go, green, high, low, nutritional, individual, large, fructose, capitalize, label, small, contain, unhealthy, sic, sugared, nutrient, strengthen, prevent, vegetable, healthy, make, reasonable, daily, modify, eliminate, real, appear, participate, self-regulatory, take, future, child-directed, current, pronounce, Pop-Tarts, watch, commercial, look, much, lead, serious, life-threatening, allergic, Official, website, Canadian"
137,Popcorn,"pop-corn, puffs, popcorn, strong, hard, starchy, steam, build, expand, original, cool.Some, special, common, major, dent, flour, sweet, ==, stove-top, 19th, such, early, steam-powered, inexpensive, popular, other, many, famous, much, initial, financial, namesake, first, sharp, be, elementary, official, ==, certain, impervious, moisture, pressurized, pliable, internal, entrapped, increase, sudden, corresponding, rapid, airy, familiar, Special, give, improved, popping, wild, pop, cultivated, small, commercial, freshly, Columbian, same, molasses-flavored, patented, steam-driven, open, hot, dry, one-third, clarified, two-thirds, withstand, little, automated, clown, puppet-like, attract, disengage, lift, bin, kept, warm, Excess, operate, shrill, attention.A, different, Chinese, un-popped, large, 'popcorn, heavy, rotisserie, huge, have, Individual, buy, specialized, popped, assist, thermal, stationary, avoid, ===, sensitive, reach, high, rupture, gelatinize, unpopped, moisture-proof, leak, keep, break, cause, important, sell, poor, susceptible, mold, over-dried, suffer, decline, old, enough, create, Re-hydrating, prior, come, off-yellow, white, long, top, Commercial, pearl, yellow, rice, available, black, red, purple, nutty, snowflake, irregular, ball-shaped, few, noticeable, fragile, caramel, single, form, affect, multiple, acceptable, use, singular, accepted, due, great, second, cocaine, heroin, caramelized, attractive, human, 6-acetyl-2,3,4,5-tetrahydropyridine, 2-acetyl-1-pyrroline, powerful, make, sweetener.Popcorn, sugary, glue, 20th, traditional, mixed, caramel-covered, normal, new, add, own, choose, healthy-eating, Nutritional, dietary, low, free, prepared, convert, restricted, public, Public, widespread, medium-size, buttered, fat, saturated, full, intake.In, average, American, regular, choking.Microwaveable, various, flavoring, formerly, artificial-butter, Major, Other, tree, biodegradable, expanded, numerous, undesirable, processed, overcome, 978-1-56676-932-7, Popped, External"
138,Popover,"light, hollow, similar, be, ==, American, 17th, known, first, print, other, author, individual, crusty, meat-flavored, Other, pumpkin, such, historical"
139,Poppyseed muffin,"poppy, wheat, poppy, other, ==, 19th, wide, add, basic, prepared, Poppy, popular, narcotic, modern, difficult, American, due, heroin, Other, low, present, such, occasional, flavor, spread, be, have, give, false, drug-free, few, high, poppy-based, defensible, poppyseed-based, cause, positive, prevalent, inaccurate"
140,Pork and beans,"culinary, main, Numerous, specific, such, ==, American, unclear, mid-19th, first, canned, classic, [, little, navy, incorporate, small, assure"
141,Potato salad,"dish, other, main, have, European, American, likely, German, European, nineteenth, American-style, cold, mayonnaise-like, such, sour, ===, warm, prepared, northern, similar, vegetable, traditional, boiled, yellow, dry, black, pickled, red, white, green, hard-boiled, Vegetable, raw, be, portal"
142,Potato skins,"snack, unpeeled, green, casual, such, ==, Many, be, pioneer, first, serve"
143,Potato wedges,"large, unpeeled, common, sour, sweet, use, ==, steak-cut, global, crinkle-cut, be, distinct, normal-, triangular, as, ==, Other, potato, same, plain, mojos, wilde, 'Western, картофель, по-деревенски, 'village-style, по-домашнему, 'homestyle, americké, 'american"
144,Potatoes O'Brien,"pan-fried, green, red, hot, originate, early, same, ==, be, many, different, black, garlic, shredded, simple, chunked, brunch"
145,Protein bar,"nutrition, high, ==, convenient, require, different, fill, replace, dietary, meal, other, human, build, medical, popular, athletic, Other, protein, egg, slow, digestive, brown, contain, keep, carbohydrate, low, many, sugar, ===, active, necessary, general, muscular, reduce, lean, weight, enhance"
146,Pulled pork,"American, culinary, southern, main, make, Pulled, slow-smoking, slow, mixed, regional-based, ==, slow-cooked, non-barbecue, be, domestic, rural, vinegar-based, common, soak, extra, long"
147,Pumpkin pie,"dessert, spiced, pumpkin-based, harvest, pumpkin, eaten, early, prepared, other, brown, single, top, replace, similar, spice, canned, ==, first, edible, slice, remove, soft, open, soften, puréed.The, mixed, condensed, Similar, butternut, sweet, potato, native, pie, seventeenth, be, such, American, likely, nineteenth, common, different, 19th, whole, southern, Many, give, much, traditional, serve, many, modern, seasonal, pie-flavored, french, popular, /, pilgrim, gray-haired, round, old, broken, care-wearied, worn, rich, ===, sigh, brown, Thy, fill, noble, thee, say, tell, homemade, have, do, Sleigh, evaporated, final"
